"","PROGRAM","PROGRAM2"
"314","MS in Information Systems - Business Intelligence","*M* *MS* *Sc*  *IS* - *BI* *B* *Analytics*"
"315","Master of Science in Business Analytics and Project Management","*M* *MS* *Sc*  *BI* *B* *Analytics*  project management"
"316","Business Information and Analytics Certificate","business information  *Analytics* *Cert*"
"317","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"318","Master of Science in Information Systems and Operations Management (Business Intelligence & Analytics specialization)","*M* *MS* *Sc*  *IS*  operations management *BI* *B* *Analytics*  *Analytics* specialization"
"319","MBA with concentration in Business Analytics","*M* *MBA* *B*  concentration  *BI* *B* *Analytics*"
"320","Master of Science in Health Informatics Research Track","*M* *MS* *Sc*  *Health-Bio* *Analytics* research track"
"321","Health Informatics (IBHE-Approved Certificate)","*Health-Bio* *Analytics* ibhe-approved *Cert*"
"322","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"323","Master of Science in Management Information Systems","*M* *MS* *Sc*  *IM* *IS*"
"324","Graduate Certificate in Business Intelligence","graduate *Cert*  *BI* *B* *Analytics*"
"325","Master of Science in Statistics: Analytics Concentration","*M* *MS* *Sc*  *Stats* *Analytics* concentration"
"326","MS in Information Management","*M* *MS* *Sc*  *IM*"
"327","Master of Computer Science in Data Science","*M*  *CS*  *DS*"
"328","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"329","Certificate in Business Analytics","*Cert*  *BI* *B* *Analytics*"
"330","MBA for Working Professionals with Business Analytics Advanced Core","*M* *MBA* *B*  working professionals  *BI* *B* *Analytics* advanced core"
"331","Certificate in Data Mining","*Cert*  *Analytics*"
"332","Graduate Certificate in Information Systems","graduate *Cert*  *IS*"
"333","Master of Science in Information Systems","*M* *MS* *Sc*  *IS*"
"334","Certificate in Applied Statistics","*Cert*  *Stats*"
"335","Master of Science in Information Systems","*M* *MS* *Sc*  *IS*"
"336","Master of Information Management","*M*  *IM*"
"337","MS in Business, Marketing Analytics","*M* *MS* *Sc*  business marketing *Analytics*"
"338","Online MBA - Specialization in Information Systems & Business Analytics","online *M* *MBA* *B* - specialization  *IS*  *BI* *B* *Analytics*"
"339","Ph.D. in Information Studies - Concentration in Big Data/Data Science","*PhD*  information studies - concentration  big data/*DS*"
"340","Master of Science in Data Analytics","*M* *MS* *Sc*  *Analytics*"
"341","Ph.D. in Business Administration - Information Systems for Data Science Track","*PhD*  business administration - *IS*  *DS* track"
"342","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"343","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"344","Master of Science in Computer Science with Concentration in Data Science","*M* *MS* *Sc*  *CS*  concentration  *DS*"
"345","Master's Program in Bioinformatics","*M* program  *Health-Bio**Analytics*"
"346","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"347","Graduate Data Science (DS) Certificate Program","graduate *DS* *DS* *Cert* program"
"348","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"349","Master of Science in Business Analytics (MSBA) - part-time","*M* *MS* *Sc*  *BI* *B* *Analytics* msba - part-time"
"350","Master of Science in Business Analytics (MSBA) - full-time","*M* *MS* *Sc*  *BI* *B* *Analytics* msba - full-time"
"351","Master's of Science in Data Science","*M* *MS* *Sc*  *DS*"
"352","Master of Science in Data and Analytics","*M* *MS* *Sc*  data  *Analytics*"
"353","Graduate Certificate in Business Intelligence","graduate *Cert*  *BI* *B* *Analytics*"
"354","Business Analytics Graduate Certificate","*BI* *B* *Analytics* graduate *Cert*"
"355","Graduate Certificate in Analytics","graduate *Cert*  *Analytics*"
"356","Master of Science in Analytics","*M* *MS* *Sc*  *Analytics*"
"357","M.B.A. - Business Intelligence Concentration","*M* *MBA* *B* - *BI* *B* *Analytics* concentration"
"358","Graduate Certificate in Public Health Informatics","graduate *Cert*  *Public* *Health-Bio* *Analytics*"
"359","Graduate Certificate in Health Informatics","graduate *Cert*  *Health-Bio* *Analytics*"
"360","Professional Science Master's (PSM) in Data Science and Business Analytics (DSBA)","professional science *M* psm  *DS*  *BI* *B* *Analytics* dsba"
"361","Graduate Certificate in Data Science and Business Analytics","graduate *Cert*  *DS*  *BI* *B* *Analytics*"
"362","M.S. in Mathematics with Concentration in Applied Statistics","*M* *MS* *Sc*  mathematics  concentration  *Stats*"
"363","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"364","MS - Business Analytics","*M* *MS* *Sc* - *BI* *B* *Analytics*"
"365","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"366","Master of Science in Applied and Computational Mathematics and Statistics with a specialty in Applied Statistics","*M* *MS* *Sc*  applied  computational mathematics  *Stats*   specialty  *Stats*"
"367","MS in Management Information Systems","*M* *MS* *Sc*  *IM* *IS*"
"368","Master of Data Science and Analytics","*M*  *DS*  *Analytics*"
"369","Master of Information Systems with a Graduate Business Analytics Certificate","*M*  *IS*   graduate *BI* *B* *Analytics* *Cert*"
"370","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"371","Master's Degree in Biostatistics","*M* degree  *Health-Bio**Stats*"
"372","Master's Degree in Biomedical Informatics","*M* degree  *Health-Bio*medical *Analytics*"
"373","Business Analytics Certificate","*BI* *B* *Analytics* *Cert*"
"374","MSIS - Big Data Analytics","msis - big *Analytics*"
"375","Master of Science in Data Science","*M* *MS* *Sc*  *DS*"
"376","MS in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"377","MA and MS in Medical Statistics","ma  *M* *MS* *Sc*  medical *Stats*"
"378","Professional MS in Computer Science (Concentration in Data Analytics)","professional *M* *MS* *Sc*  *CS* concentration  *Analytics*"
"379","Master of Science in Analytics","*M* *MS* *Sc*  *Analytics*"
"380","Master of Applied Statistics","*M*  *Stats*"
"381","Analytics and Business Intelligence Certificate","*Analytics*  *BI* *B* *Analytics* *Cert*"
"382","MS in Health Informatics Online","*M* *MS* *Sc*  *Health-Bio* *Analytics* online"
"383","Master of Science in Business Analytics","*M* *MS* *Sc*  *BI* *B* *Analytics*"
"384","Ph.D. in Data Sciences & Operations","*PhD*  *DS*s  operations"
"385","Master of Science in Computer Science - Data Science","*M* *MS* *Sc*  *CS* - *DS*"
"386","Master of Science in Healthcare Decision Analysis Concentration in Business Intelligence","*M* *MS* *Sc*  *Health-Bio*care decision analysis concentration  *BI* *B* *Analytics*"
"387","Graduate Certificate in Business Analytics","graduate *Cert*  *BI* *B* *Analytics*"
"388","MBA with a concentration in Business Analytics","*M* *MBA* *B*   concentration  *BI* *B* *Analytics*"
"389","M.S. in Data Science","*M* *MS* *Sc*  *DS*"
"390","Master of Science in Analytics","*M* *MS* *Sc*  *Analytics*"
"391","Master of Science in Commerce - Business Analytics","*M* *MS* *Sc*  commerce - *BI* *B* *Analytics*"
"392","Master of Science in Data Science (MSDS)","*M* *MS* *Sc*  *DS* msds"
"393","Certificate in Data Science","*Cert*  *DS*"
"394","Master of Science in Data Science","*M* *MS* *Sc*  *DS*"
"395","Ph.D. in Big Data and Data Science","*PhD*  big data  *DS*"
"396","Certificate in Business Intelligence","*Cert*  *BI* *B* *Analytics*"
"397","Certificate in Business Analysis","*Cert*  business analysis"
"398","Master of Science in Statistics - Data Science","*M* *MS* *Sc*  *Stats* - *DS*"
"399","Online Graduate Certificate in Business Analytics","online graduate *Cert*  *BI* *B* *Analytics*"
"400","Online Master of Science in Data Science","online *M* *MS* *Sc*  *DS*"
"401","Certificate in Applied Econometric and Data Science Foundations using SAS","*Cert*  applied econometric  *DS* foundations using sas"
"402","M.S. in Analytics and Modeling","*M* *MS* *Sc*  *Analytics*  modeling"
"403","MBA with Concentration and Certificate in Business Intelligence","*M* *MBA* *B*  concentration  *Cert*  *BI* *B* *Analytics*"
"404","Graduate Certificate in Applied Statistics","graduate *Cert*  *Stats*"
"405","Master of Science in Applied Statistics","*M* *MS* *Sc*  *Stats*"
"406","Online Master of Science in Analytics","online *M* *MS* *Sc*  *Analytics*"
"407","Master of Science in Business, concentration in Decision Sciences and Business Analytics","*M* *MS* *Sc*  business concentration  decision sciences  *BI* *B* *Analytics*"
"408","Master of Science in Business Administration - Business Analytics Concentration","*M* *MS* *Sc*  business administration - *BI* *B* *Analytics* concentration"
"409","Master of Science in Customer Analytics","*M* *MS* *Sc*  customer *Analytics*"
"410","Master of Professional Studies in Statistical and Data Sciences","*M*  professional studies  *Stats*  *DS*s"
"411","Online Hybrid MS in Business Data Analytics","online hybrid *M* *MS* *Sc*  business *Analytics*"
"412","Master of Science in Analytics","*M* *MS* *Sc*  *Analytics*"
"413","Graduate Certificate in Data Science","graduate *Cert*  *DS*"
"414","Master of Science in Data Science","*M* *MS* *Sc*  *DS*"
"415","Ph.D. in Data Science","*PhD*  *DS*"
